Time,Container,From,To,CTMType
11/30/2021 8:40,MSMU5615241,RTG22,MM3_426_B_4,CheToStack
11/30/2021 8:40,MEDU4671210,RTG23,EE1_108_C_4,CheToStack
11/30/2021 8:40,GAOU6699998,RTG26,EE2_308_F_4,CheToStack
11/30/2021 8:40,S0025364168,RTG27,143437,CheToTruck
11/30/2021 8:40,S0025364174,RTG21,CC1_199_E_4,CheToStack
11/30/2021 8:41,S0025364171,RTG24,UTR5879,CheToTruck
11/30/2021 8:41,KKFU1809148,RTG23,EE1_108_F_1,CheToStack
11/30/2021 8:41,MEDU9663408,RTG28,110862,CheToTruck
11/30/2021 8:42,BEAU2976004,RTG21,CC1_199_D_5,CheToStack
11/30/2021 8:42,UETU4073265,RTG26,EE2_308_F_5,CheToStack
11/30/2021 8:42,TGCU5192374,RTG25,333856,CheToTruck
11/30/2021 8:43,TGBU3167580,RTG21,CC1_199_C_5,CheToStack
11/30/2021 8:43,BMOU6110054,RTG24,DD2_312_A_4,CheToStack
11/30/2021 8:43,HASU4753293,RTG16,MM6_620_A_1,CheToStack
11/30/2021 8:43,FCIU8866500,RTG22,175593,CheToTruck
11/30/2021 8:44,FCIU8279735,RTG26,EE2_308_A_1,CheToStack
11/30/2021 8:44,MSMU6584269,RTG17,NN2_272_C_5,CheToStack
11/30/2021 8:44,SMCU1171462,RTG16,MM6_620_A_2,CheToStack
11/30/2021 8:44,MSDU1445412,RTG21,87203,CheToTruck
11/30/2021 8:45,MSCU7742311,RTG24,257316,CheToTruck
11/30/2021 8:45,CAIU7481851,RTG25,DD6_612_A_3,CheToStack
11/30/2021 8:46,BMOU6954158,RTG17,NN2_272_D_5,CheToStack
11/30/2021 8:46,TGBU3167580,RTG21,CC1_199_B_1,CheToStack
11/30/2021 8:46,UETU4073265,RTG26,EE2_308_D_2,CheToStack
11/30/2021 8:46,TGBU5980496,RTG27,EE5_550_A_2,CheToStack
11/30/2021 8:47,S0025364293,RTG25,DD6_612_A_4,CheToStack
11/30/2021 8:47,TGBU8640566,RTG16,344613,CheToTruck
11/30/2021 8:47,BEAU2976004,RTG21,CC1_199_B_2,CheToStack
11/30/2021 8:47,GAOU6699998,RTG26,EE2_308_D_3,CheToStack
11/30/2021 8:47,S0025364302,RTG27,EE5_550_F_4,CheToStack
11/30/2021 8:47,MSCU9941610,RTG23,EE1_186_C_4,CheToStack
11/30/2021 8:47,S0025364300,RTG28,206488,CheToTruck
11/30/2021 8:48,MEDU4645314,RTG17,135663,CheToTruck
11/30/2021 8:48,S0025364324,RTG24,DD2_280_A_4,CheToStack
11/30/2021 8:48,PONU8080517,RTG25,350294,CheToTruck
11/30/2021 8:48,MEDU6724942,RTG21,CC1_199_B_3,CheToStack
11/30/2021 8:48,S0025364326,RTG28,CC3_436_E_3,CheToStack
11/30/2021 8:49,CAIU7361141,RTG23,EE1_186_D_5,CheToStack
11/30/2021 8:49,XINU8138110,RTG24,132171,CheToTruck
11/30/2021 8:50,BMOU6954158,RTG17,NN2_272_E_1,CheToStack
11/30/2021 8:50,S0025364364,RTG27,EE5_550_D_3,CheToStack
11/30/2021 8:50,MSDU8000434,RTG28,CC3_438_E_4,CheToStack
11/30/2021 8:51,S0025364375,RTG23,328391,CheToTruck
11/30/2021 8:51,S0025364379,RTG16,MM6_610_A_4,CheToStack
11/30/2021 8:51,MEDU4645314,RTG17,NN2_272_E_2,CheToStack
11/30/2021 8:51,S0025364386,RTG27,EE5_550_D_4,CheToStack
11/30/2021 8:52,TLLU7904583,RTG28,CC3_436_D_4,CheToStack
11/30/2021 8:52,MSMU6584269,RTG17,NN2_272_E_3,CheToStack
11/30/2021 8:52,CAIU9138435,RTG24,DD2_272_F_1,CheToStack
11/30/2021 8:52,CAIU7361141,RTG23,EE1_186_B_2,CheToStack
11/30/2021 8:53,S0025364399,RTG27,146562,CheToTruck
11/30/2021 8:53,S0025364418,RTG26,EE2_300_E_4,CheToStack
11/30/2021 8:53,TCNU2865246,RTG17,NN2_272_A_4,CheToStack
11/30/2021 8:54,BEAU5244305,RTG25,102330,CheToTruck
11/30/2021 8:54,BEAU5830688,RTG17,NN2_272_A_5,CheToStack
11/30/2021 8:54,MEDU8350585,RTG26,EE2_300_F_5,CheToStack
11/30/2021 8:54,MEDU7309490,RTG24,351462,CheToTruck
11/30/2021 8:54,TLLU7918170,RTG28,CC3_432_E_2,CheToStack
11/30/2021 8:55,MSMU6609789,RTG17,NN2_272_E_4,CheToStack
11/30/2021 8:56,S0025364463,RTG28,CC3_432_E_3,CheToStack
11/30/2021 8:56,MOEU0711617,RTG22,351677,CheToTruck
11/30/2021 8:56,MEDU7166790,RTG26,EE2_300_A_1,CheToStack
11/30/2021 8:56,CAIU7437611,RTG16,MM6_610_E_4,CheToStack
11/30/2021 8:57,MSCU4364901,RTG24,359958,CheToTruck
11/30/2021 8:57,MEDU8653597,RTG17,135663,CheToTruck
11/30/2021 8:57,S0025362164,RTG16,MM6_610_C_3,CheToStack
11/30/2021 8:57,AMFU8910274,RTG28,CC3_432_E_4,CheToStack
